2026-05-21 12:20:52,餐饮美食,金里,/,林科大自营2买单,支出,3.80,花呗,交易成功,2026052122001429701435633305	,631266000048250000705559347503260521	,,
2026-05-21 11:59:26,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,9.00,花呗,交易成功,2026052122001429701436584347	,1612660000483300037895082003323314	,,
2026-05-21 10:15:04,餐饮美食,光合**店,133***@163.com,【优惠价】光合力量鸡胸肉即食健身代餐减0低脂肪肥代餐饱腹主食鸡肉零食品,支出,59.11,花呗,支付成功,20260521300000004229701258299504	,T200P3301402224613025974	,,
2026-05-20 14:09:24,教育培训,安徽飞协信息技术有限公司,729***@qq.com,2026年第七届全国高等院校数学能力挑战赛-初赛证书申请,支出,10.00,花呗,交易成功,2026052022001429701431466303	,MAC20260520140852853221520443481	,,
2026-05-20 11:48:47,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,12.00,花呗,交易成功,2026052022001429701429688347	,4312660000483300037895082060062356	,,
2026-05-19 19:15:48,文化休闲,百度,zfp***@baidu.com,百度网盘超级会员(1年-自动续费),支出,191.32,花呗&支付宝立减,交易成功,2026051922001429701421124875	,5199400279288	,,
2026-05-19 16:54:27,餐饮美食,金里,/,林科大自营2买单,支出,3.80,花呗,交易成功,2026051922001429701423025085	,001266000048250000705511100458260519	,,
2026-05-19 16:40:36,餐饮美食,湖南科技职业学院第一食堂,/,湖南科技职业学院_食堂,支出,12.00,花呗,交易成功,2026051922001429701422653543	,8612660000483300037895214087550319	,,
2026-05-18 17:23:01,交通出行,铁路12306,chi***@alipay.com,火车票,支出,1240.50,花呗,交易成功,2026051822001429701414779522	,M20260518251785975	,,
2026-05-17 20:55:00,餐饮美食,望城区果香果乐水果店,/,聚好付,支出,3.42,花呗&碰一下立减,交易成功,2026051722001429701411255537	,49126600004836000083620260517645040239	,,
2026-05-17 20:53:59,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,4.00,花呗,交易成功,2026051722001429701410779052	,30106600004857000220260517MM962gak	,,
2026-05-17 00:05:04,餐饮美食,汝味**店,ytq***@163.com,黑全麦面包粗粮代餐早餐黑麦奇亚籽吐司切片整箱代餐营养休闲零食,支出,9.99,花呗,交易成功,2026051723001129701405154609	,T200P3302598000653061984	,,
2026-05-17 00:05:04,餐饮美食,百亿**选,xia***@126.com,全麦面包早餐速食0减无糖精脂肥黑麦代餐粗粮健康零食整箱吐司片,支出,0.00,,支付成功,2026051723001129701408043817	,T200P3302598000653035156	,,
2026-05-16 19:09:37,充值缴费,中国联通,gs-***@chinaunicom.cn,为155****9838交费13.10元,支出,13.10,花呗,交易成功,2026051622001429701405983608	,CP1043451778929766332859	,,
2026-05-15 11:51:02,餐饮美食,金里,/,林科大自营2买单,支出,4.37,花呗&碰友日立减,交易成功,2026051522001429701450739542	,861266000048250000705391804291260515	,,
2026-05-15 11:49:28,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,12.00,花呗,交易成功,2026051523001429701454304969	,8812660000483300037895214883947977	,,
2026-05-14 20:07:08,日用百货,长沙市望城区杭商华联超市,/,商品描述,支出,73.46,花呗,交易成功,2026051423001429701452655280	,97126600004836000083620260514343397997	,,
2026-05-14 18:06:11,文化休闲,辽泽**店,ywl***@163.com,超轻折叠墨镜男款痞帅2026新款高级感防紫外线开车专用偏光太阳镜,支出,37.70,花呗,支付成功,20260514300000007329701244715124	,T200P3299316135904016792	,,
2026-05-14 13:16:17,运动户外,北京卡路里科技有限公司,kee***@gotokeep.com,连续包月,支出,19.00,花呗,交易成功,2026051422001429701439705690	,2054779485894541312	,,
2026-05-14 12:19:38,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,庆典寻访组合包,支出,98.00,花呗,交易成功,2026051423001429701443147091	,20260514121923007015363840160100	,,
2026-05-14 11:19:25,教育培训,Fei,172***@qq.com,收钱码收款,支出,3.70,花呗&到店支付立减券,交易成功,2026051422001429701442154342	,47787287651222496729700	,,
2026-05-13 22:05:51,餐饮美食,望城区果香果乐水果店,/,聚好付,支出,10.48,花呗,交易成功,2026051322001429701438742915	,00126600004836000083620260513976676353	,,
2026-05-13 11:44:24,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,12.00,花呗,交易成功,2026051322001429701433784063	,5212660000483300037895082831888094	,,
2026-05-12 23:20:50,餐饮美食,明日**店,181***@aliyun.com,【优惠价】即食牛肉酱牛肉卤牛腱减低脂肥早餐代餐卡饱腹健身健康主零食品,支出,0.00,,支付成功,2026051223001129701431372850	,T200P3301112499759016792	,,
2026-05-12 22:56:29,退款,明日**店,181***@aliyun.com,退款-【优惠价】即食牛肉酱牛肉卤牛腱减低脂肥早餐代餐卡饱腹健身健康主零食品,不计收支,0.00,,退款成功,2026051223001129701434601466_3301592989089035156	,T200P3301592989089035156	,,
2026-05-12 22:55:26,餐饮美食,明日**店,181***@aliyun.com,【优惠价】即食牛肉酱牛肉卤牛腱减低脂肥早餐代餐卡饱腹健身健康主零食品,支出,0.00,,支付成功,2026051223001129701434601466	,T200P3301592989089035156	,,
2026-05-12 21:46:11,餐饮美食,望城区果香果乐水果店,/,聚好付,支出,9.90,花呗,交易成功,2026051222001429701430212864	,86126600004836000083620260512959234692	,,
2026-05-12 21:45:01,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,11.94,花呗&碰一下立减,交易成功,2026051222001429701430150999	,43106600004857000220260512MMe6pjgf	,,
2026-05-12 11:52:21,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院_食堂,支出,10.00,花呗,交易成功,2026051223001429701424683809	,6175051211522017785	,,
2026-05-12 06:39:09,文化休闲,iCloud 由云上贵州运营,aip***@gzdata.com.cn,iCloud；05.12购买,支出,6.00,花呗,交易成功,2026051223001429701422948191	,MV6MHXN0Z9a0	,,
2026-05-11 00:44:42,充值缴费,中国联通,gs-***@chinaunicom.cn,为155****9838交费40.00元,支出,39.99,花呗&支付宝随机立减,交易成功,2026051122001429701417382355	,CP2373281778431474291181	,,
2026-05-10 19:56:32,餐饮美食,蜜雪冰城900475店1,/,蜜雪冰城900475店,支出,5.90,农业银行储蓄卡(4170)&农业银行立减金,交易成功,2026051023001429701416145983	,21P2088701330117762W03_176231007022626051019563265370	,,
2026-05-10 17:10:49,餐饮美食,康俊**店,ytk***@163.com,全麦面包0加蔗糖整箱荞麦粗粮减吐司片奇亚籽黑麦代餐切片早餐,支出,6.80,花呗,交易成功,2026051023001129701411658536	,T200P3301402224613035156	,,
2026-05-10 17:10:49,餐饮美食,光合**店,133***@163.com,【优惠价】光合力量鸡胸肉即食健身代餐减0低脂肪肥代餐饱腹主食鸡肉零食品,支出,0.00,,支付成功,2026051023001129701415464411	,T200P3301402224613025974	,,
2026-05-10 15:29:53,充值缴费,中国电信,zhi***@chinatelecom-ec.com.cn,为173****4983充值40.0元，谨防诈骗,支出,39.91,花呗&支付宝随机立减,交易成功,2026051023001429701410542838	,ZY2605101529440058706923	,,
2026-05-10 11:43:43,日用百货,x***4,187******95,Gemini3.1 Pro 12个月 自动激活兑换,支出,24.00,花呗,交易成功,2026051023001129701409874603	,T200P3300712395168016792	,,
2026-05-09 21:20:05,餐饮美食,蜜雪冰城900475店1,/,蜜雪冰城900475店,支出,4.90,花呗&食神卡点餐优惠,交易成功,2026050923001429701409710222	,21P2088701330117762W03_176231004622626050921200517989	,,
2026-05-09 21:19:01,商业服务,签约商户,z97***@antgroup-inc.com,蜜雪冰城惊喜券包-购买,支出,1.00,花呗,交易成功,2026050922001429701414702104	,20260509002250010000709089468250	,,
2026-05-09 11:46:30,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭_碰一下时间：2026-05-09 11:46:29,支出,9.00,花呗,交易成功,2026050923001429701404518339	,194541901802126050911463007255	,,
2026-05-08 11:51:24,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭_碰一下时间：2026-05-08 11:51:22,支出,8.55,花呗&碰友日立减,交易成功,2026050822001429701455737738	,194541901762126050811512373195	,,
2026-05-07 13:09:34,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟（PC版）_bili_月卡,支出,30.00,花呗,交易成功,2026050722001429701451617532	,2026050713092045830591	,,
2026-05-06 19:40:07,日用百货,长沙市望城区杭商华联超市,/,商品描述,支出,288.53,花呗,交易成功,2026050623001429701442359612	,90126600004836000083620260506322598384	,,
2026-05-06 11:54:28,餐饮美食,金里,/,林科大自营2买单,支出,3.80,花呗,交易成功,2026050622001429701440789155	,701266000048250000705147093771260506	,,
2026-05-06 11:50:46,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,9.00,花呗,交易成功,2026050622001429701440475735	,8112660000483300037895214964919070	,,
2026-05-06 10:53:06,日用百货,惠佳快印,/,惠佳快印,支出,0.60,花呗,交易成功,2026050622001429701442794117	,20201703270643362739181500001738172605061053059340	,,
2026-05-05 21:11:28,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,3.90,花呗&碰一下立减,交易成功,2026050522001429701438171029	,04106600004857000220260505MMglu6c8	,,
2026-05-05 10:50:03,投资理财,余额宝,jry***@xqfunds.com,余额宝-自动转入,不计收支,60.50,账户余额,交易成功,20260505019130101000700093256643	,20260505009130501000700032978271	,,
2026-05-05 08:16:44,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,60.50,花呗,退款成功,2026043022001429701412261007_M2026050579062314	,M20260430265073254	,,
2026-05-04 17:55:02,文化休闲,辽泽**店,ywl***@163.com,超轻折叠墨镜男款痞帅2026新款高级感防紫外线开车专用偏光太阳镜,支出,0.00,,支付成功,2026050423001129701434292008	,T200P3299316135904016792	,,
2026-05-04 17:40:35,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,6.93,花呗&碰一下立减,交易成功,2026050422001429701431971762	,07106600004857000220260504MMeqnu8f	,,
2026-05-04 01:24:09,投资理财,余额宝,jry***@xqfunds.com,余额宝-自动转入,不计收支,60.50,账户余额,交易成功,20260504019130101000700092404554	,20260504009130501000700032600400	,,
2026-05-03 22:21:39,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,60.50,花呗,退款成功,2026042322001429701439410605_M2026050360996347	,M2026042301148188	,,
2026-05-03 18:40:08,信用借还,花呗,/,花呗主动还款-2026年05月账单,不计收支,4261.78,农业银行储蓄卡(4170),还款成功,2026050329020999700131100620	,	,,
2026-05-03 12:38:01,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,97.00,花呗,退款成功,2026043022001429701412276995_M2026050353270067	,M20260430265088580	,,
2026-05-03 12:37:22,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,20.00,花呗,退款成功,2026050222001429701424179824_M2026050353259957	,M2026050245308805	,,
2026-05-02 18:51:52,交通出行,铁路12306,chi***@alipay.com,火车票,支出,60.50,花呗,交易成功,2026050222001429701424179824	,M2026050245308805	,,
2026-05-02 16:59:11,文化休闲,Steam,sup***@nuvei.com,Steam Purchase,支出,241.40,花呗,交易成功,2026050222001429701421245865	,2026050219074101000680052608364	,,
2026-05-01 13:49:29,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_新人适应补给包,支出,6.00,花呗,交易成功,2026050122001429701417782538	,7776145630273108	,,
2026-05-01 11:33:11,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_高级资深干员特训礼包,支出,168.00,花呗,交易成功,2026050123001429701415567448	,7776063842283255	,,
2026-05-01 11:31:21,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_罗德岛周年作战包,支出,198.00,花呗,交易成功,2026050122001429701417755146	,7776062739653840	,,
2026-04-30 14:15:10,交通出行,铁路12306,chi***@alipay.com,火车票,支出,97.00,花呗,交易关闭,2026043022001429701412276995	,M20260430265088580	,,
2026-04-30 14:13:02,交通出行,铁路12306,chi***@alipay.com,火车票,支出,60.50,花呗,交易关闭,2026043022001429701412261007	,M20260430265073254	,,
2026-04-29 20:15:50,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,4.00,花呗,交易成功,2026042922001429701406662145	,35106600004857000220260429MM7e78tp	,,
2026-04-29 12:09:09,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,9.00,花呗,交易成功,2026042923001429701401809167	,6612660000483300037895082438794543	,,
2026-04-29 11:05:04,公共服务,湖南省财政事务中心,/,湖南省公安厅出入境管理总队收取往来港澳签注费－短期一年内一次等费用-000540..,支出,105.00,花呗,交易成功,2026042922001429701402359751	,55126600004802000014B369f1755fa2a435aaee280399	,,
2026-04-29 11:04:14,公共服务,湖南省财政事务中心,/,湖南省公安厅出入境管理总队收取护照-护照工本费等费用-0005405854,支出,120.00,花呗,交易成功,2026042923001429701401621083	,01126600004802000014B369f1752ea2a4615ecb31fa5a	,,
2026-04-28 11:53:25,餐饮美食,金里,/,林科大自营1买单,支出,3.80,花呗,交易成功,2026042822001429701459567098	,031266000048250000705924529509260428	,,
2026-04-28 11:43:50,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭_碰一下时间：2026-04-28 11:43:49,支出,12.00,花呗,交易成功,2026042822001429701458052761	,194541908062126042811435032206	,,
2026-04-27 09:28:15,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_失语者组合包,支出,30.00,花呗,交易成功,2026042723001429701452866388	,7772532892003252	,,
2026-04-27 09:27:58,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_渡星客组合包,支出,30.00,花呗,交易成功,2026042722001429701453485987	,7772532612823957	,,
2026-04-27 09:27:30,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_戏中身组合包,支出,30.00,花呗,交易成功,2026042722001429701452627013	,7772532436823389	,,
2026-04-27 09:27:11,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_布道人组合包,支出,30.00,花呗,交易成功,2026042723001429701451681346	,7772532249633171	,,
2026-04-27 09:26:48,文化休闲,哔哩哔哩游戏,kua***@bilibili.com,明日方舟_bili_2026音律联觉纪念礼包,支出,6.00,花呗,交易成功,2026042722001429701454268265	,7772531942193994	,,
2026-04-26 19:08:42,日用百货,长沙市望城区诺诺诺校园生活超市,/,长沙市望城区诺诺诺校园生活超市（个体工商户）,支出,3.94,花呗&碰一下立减,交易成功,2026042622001429701453023770	,77106600004857000220260426MMfi21m1	,,
2026-04-26 12:13:34,餐饮美食,湖南科技职业学院第一食堂,/,湖南科技职业学院_食堂,支出,12.00,花呗,交易成功,2026042622001429701447593710	,4612660000483300037895082386663364	,,
2026-04-26 09:28:07,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,38.50,花呗,退款成功,2026042222001429701433917479_M2026042634171297	,M20260422205454242	,,
2026-04-25 12:22:04,餐饮美食,金里,/,林科大自营1买单,支出,3.80,花呗,交易成功,2026042522001429701445395408	,291266000048250000705842455796260425	,,
2026-04-25 12:14:03,餐饮美食,湖南邵阳新又好餐饮有限公司,/,湖南科技职业学院_食堂,支出,9.00,花呗,交易成功,2026042522001429701445308910	,9212660000483300037895214371554593	,,
2026-04-24 14:43:24,文化休闲,上海鹰角塔罗斯网络科技有限公司,fin***@hypergryph.com,镌宇铭星组合包,支出,6.00,花呗,交易成功,2026042423001429701441121109	,20260424144303007015983352037296	,,
2026-04-24 12:30:35,餐饮美食,金里,/,林科大自营1买单,支出,3.80,花呗,交易成功,2026042422001429701439233476	,871266000048250000705814985512260424	,,
2026-04-24 12:16:05,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭_碰一下时间：2026-04-24 12:16:03,支出,8.67,花呗&碰友日立减,交易成功,2026042422001429701440494463	,194541901612126042412160407701	,,
2026-04-23 23:08:20,交通出行,铁路12306,chi***@alipay.com,火车票,支出,60.50,花呗,交易关闭,2026042322001429701439410605	,M2026042301148188	,,
2026-04-23 12:52:55,日用百货,诚一校园超市,/,诚一校园超市,支出,5.00,花呗,交易成功,2026042322001429701436144437	,822017092208872157190104027503000012604230769465	,,
2026-04-23 12:33:46,餐饮美食,深井烧腊,137******07,收钱码收款,支出,18.00,花呗,交易成功,2026042322001429701437472293	,17769188262222496729700	,,
2026-04-23 09:11:34,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,87.00,花呗,退款成功,2026041622001429701409077417_M2026042388378479	,M20260416259324076	,,
2026-04-23 09:11:26,交通出行,铁路12306,chi***@alipay.com,退款-火车票,不计收支,87.00,花呗,退款成功,2026041722001429701414153843_M2026042388376399	,M20260417266702105	,,
2026-04-22 12:45:51,日用百货,诚一校园超市,/,诚一校园超市,支出,5.00,花呗,交易成功,2026042222001429701432049158	,842017092208872157190104027503000052604220773984	,,
2026-04-22 12:26:25,餐饮美食,深井烧腊,137******07,收钱码收款,支出,18.00,花呗,交易成功,2026042222001429701433254118	,17768319844222496729700	,,
2026-04-22 07:29:35,交通出行,铁路12306,chi***@alipay.com,火车票,支出,40.50,花呗,交易成功,2026042222001429701432720995	,M20260422205459018	,,
2026-04-22 07:28:22,交通出行,铁路12306,chi***@alipay.com,火车票,支出,40.50,花呗,交易成功,2026042222001429701433917479	,M20260422205454242	,,
2026-04-21 19:21:00,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,25.06,花呗,交易成功,2026042123001129701430205149	,13190600726042162338570209158	,,
2026-04-21 12:15:25,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭_碰一下时间：2026-04-21 12:15:24,支出,9.00,花呗,交易成功,2026042122001429701429454485	,194541901052126042112152532476	,,
2026-04-20 19:08:13,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,0090汉堡工厂(林科大店)外卖订单,支出,26.06,花呗,交易成功,2026042023001129701426368979	,13190600726042057661402209158	,,
2026-04-20 19:02:05,退款,淘宝闪购,/,退款-胖哥现炒盖浇饭外卖订单,不计收支,10.88,花呗,退款成功,2026042023001129701426116813*13190601326042011115716209158	,13190601326042011115716209158	,,
2026-04-20 18:05:43,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,胖哥现炒盖浇饭外卖订单,支出,10.88,花呗,交易成功,2026042023001129701426116813	,13180600726042079390792209158	,,
2026-04-20 12:46:29,餐饮美食,金里,/,林科大自营1买单,支出,3.80,花呗,交易成功,2026042022001429701423801291	,511266000048250000705712439737260420	,,
2026-04-20 12:18:02,教育培训,中南林业科技大学涉外学院,xyy***@aliyun.com,中南林业科技大学涉外学院1_食堂_三食堂港式扒饭,支出,12.00,花呗,交易成功,2026042023001429701423559909	,194541901062126042012180196118	,,
2026-04-19 20:34:30,交通出行,武汉地铁运营有限公司,whq***@163.com,首义路-武汉火车站,支出,5.00,花呗,交易成功,2026041922001429701419215110	,202604192045834652912197632	,,
2026-04-19 19:06:04,餐饮美食,漢味码头,150******19,经营码交易,支出,43.00,花呗,交易成功,2026041922001429701419203945	,17765967636222496729700	,,
2026-04-19 18:15:58,交通出行,武汉市公共交通集团有限责任公司,whg***@sina.com,乘车时间：2026-04-19 18:15:50,支出,2.00,花呗,交易成功,2026041922001429701419599883	,804_0000000000218851_20260419181550_99166	,,
2026-04-19 17:28:00,交通出行,武汉轮渡旅游,293***@qq.com,乘车时间：2026-04-19 17:27:31,支出,1.30,花呗,交易成功,2026041922001429701419857414	,lundu_8343000020008847_20260419172731_151	,,
2026-04-19 15:50:37,交通出行,武汉地铁运营有限公司,whq***@163.com,梨园-赵家条,支出,4.00,花呗,交易成功,2026041922001429701420280384	,202604192045772035002474496	,,
2026-04-19 14:55:50,交通出行,武汉地铁运营有限公司,whq***@163.com,佳园路-梨园,支出,5.00,花呗,交易成功,2026041922001429701420646706	,202604192045758250405863424	,,
2026-04-19 12:42:57,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,11.50,花呗,交易成功,2026041922001429701420538110	,0001N202604190000000015280141335	,,
2026-04-19 12:35:07,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,10.49,花呗,交易成功,2026041923001429701419711259	,0001N202604190000000015319033965	,,
2026-04-19 12:11:05,教育培训,华中科技大学,/,华中科技大学-消费,支出,4.50,花呗,交易成功,2026041923001429701419587347	,31126600000105000229056217765718655858750025333131	,,
2026-04-19 12:09:54,教育培训,华中科技大学,/,华中科技大学-消费,支出,0.60,花呗,交易成功,2026041923001429701420124714	,32126600000105000229056217765717935858710020869090	,,
2026-04-19 12:09:44,教育培训,华中科技大学,/,华中科技大学-消费,支出,43.50,花呗,交易成功,2026041923001429701418733112	,07126600000105000229056217765717835858700024010505	,,
2026-04-19 11:33:41,教育培训,华中科技大学,/,二维码支付,支出,72.48,花呗,交易成功,2026041923001429701421521231	,4112660000010500022604190300074501990001376098	,,
2026-04-18 22:25:26,交通出行,武汉地铁运营有限公司,whq***@163.com,司门口黄鹤楼-佳园路,支出,5.00,花呗,交易成功,2026041822001429701416783502	,202604182045509007979978752	,,
2026-04-18 20:12:26,交通出行,武汉地铁运营有限公司,whq***@163.com,佳园路-彭刘杨,支出,5.00,花呗,交易成功,2026041822001429701418520611	,202604182045475536033292288	,,
2026-04-18 18:40:31,餐饮美食,南三门鸭血粉丝汤（佳园路店）,/,南三门鸭血粉丝佳园路店,支出,60.00,花呗,交易成功,2026041823001429701416025500	,9212660000489000001003368764726108	,,
